Date,Price Open,Price Low,Price High,Price Close,Volume
2002-07-23,2533.638847077,2533.638847077,2533.638847077,2533.638847077,34554.0
2002-07-24,2572.222179774,2572.222179774,2572.222179774,2572.222179774,33557.0
2002-07-25,2520.777736178,2520.777736178,2520.777736178,2520.777736178,88711.0
2002-07-26,2520.777736178,2520.777736178,2520.777736178,2520.777736178,22925.0
2002-07-29,2546.499957976,2546.499957976,2546.499957976,2546.499957976,31896.0
2002-07-30,2572.222179774,2572.222179774,2572.222179774,2572.222179774,39205.0
2002-07-31,2572.222179774,2572.222179774,2572.222179774,2572.222179774,25251.0
2002-08-01,2520.777736178,2520.777736178,2520.777736178,2520.777736178,29238.0
2002-08-02,2507.916625279,2507.916625279,2507.916625279,2507.916625279,33225.0
2002-08-05,2520.777736178,2520.777736178,2520.777736178,2520.777736178,10632.0
2002-08-06,2520.777736178,2520.777736178,2520.777736178,2520.777736178,25583.0
2002-08-07,2520.777736178,2520.777736178,2520.777736178,2520.777736178,12293.0
2002-08-08,2520.777736178,2520.777736178,2520.777736178,2520.777736178,13290.0
2002-08-09,2482.194403482,2482.194403482,2482.194403482,2482.194403482,25583.0
2002-08-12,2430.749959886,2430.749959886,2430.749959886,2430.749959886,42196.0
2002-08-13,2366.444405392,2366.444405392,2366.444405392,2366.444405392,21596.0
2002-08-14,2302.138850897,2302.138850897,2302.138850897,2302.138850897,23922.0
2002-08-15,2314.999961796,2314.999961796,2314.999961796,2314.999961796,55154.0
2002-08-16,2379.305516291,2379.305516291,2379.305516291,2379.305516291,1993.0
2002-08-19,2340.722183594,2340.722183594,2340.722183594,2340.722183594,21264.0
2002-08-20,2340.722183594,2340.722183594,2340.722183594,2340.722183594,14619.0
2002-08-21,2314.999961796,2314.999961796,2314.999961796,2314.999961796,59473.0
2002-08-22,2327.861072695,2327.861072695,2327.861072695,2327.861072695,29238.0
2002-08-23,2314.999961796,2314.999961796,2314.999961796,2314.999961796,29570.0
2002-08-26,2314.999961796,2314.999961796,2314.999961796,2314.999961796,41531.0
2002-08-27,2314.999961796,2314.999961796,2314.999961796,2314.999961796,19270.0
2002-08-28,2327.861072695,2327.861072695,2327.861072695,2327.861072695,39205.0
2002-08-29,2366.444405392,2366.444405392,2366.444405392,2366.444405392,19935.0
2002-08-30,2327.861072695,2327.861072695,2327.861072695,2327.861072695,23589.0
2002-09-03,2353.583294493,2353.583294493,2353.583294493,2353.583294493,11961.0
2002-09-04,2340.722183594,2340.722183594,2340.722183594,2340.722183594,24254.0
2002-09-05,2340.722183594,2340.722183594,2340.722183594,2340.722183594,23922.0
2002-09-06,2340.722183594,2340.722183594,2340.722183594,2340.722183594,14286.0
2002-09-10,2340.722183594,2340.722183594,2340.722183594,2340.722183594,10632.0
2002-09-11,2327.861072695,2327.861072695,2327.861072695,2327.861072695,31231.0
2002-09-12,2327.861072695,2327.861072695,2327.861072695,2327.861072695,4319.0
2002-09-13,2327.861072695,2327.861072695,2327.861072695,2327.861072695,5648.0
2002-09-16,2327.861072695,2327.861072695,2327.861072695,2327.861072695,25915.0
2002-09-17,2327.861072695,2327.861072695,2327.861072695,2327.861072695,24918.0
2002-09-18,2314.999961796,2314.999961796,2314.999961796,2314.999961796,42528.0
2002-09-19,2314.999961796,2314.999961796,2314.999961796,2314.999961796,25583.0
2002-09-20,2289.277739999,2289.277739999,2289.277739999,2289.277739999,9303.0
2002-09-23,2263.555518201,2263.555518201,2263.555518201,2263.555518201,2990.0
2002-09-24,2199.249963706,2199.249963706,2199.249963706,2199.249963706,20599.0
2002-09-25,2263.555518201,2263.555518201,2263.555518201,2263.555518201,71766.0
2002-09-26,2314.999961796,2314.999961796,2314.999961796,2314.999961796,54821.0
2002-09-27,2263.555518201,2263.555518201,2263.555518201,2263.555518201,33889.0
2002-09-30,2263.555518201,2263.555518201,2263.555518201,2263.555518201,27244.0
2002-10-01,2263.555518201,2263.555518201,2263.555518201,2263.555518201,22593.0
2002-10-02,2263.555518201,2263.555518201,2263.555518201,2263.555518201,20267.0
2002-10-03,2263.555518201,2263.555518201,2263.555518201,2263.555518201,16612.0
2002-10-04,2263.555518201,2263.555518201,2263.555518201,2263.555518201,29902.0
2002-10-07,2263.555518201,2263.555518201,2263.555518201,2263.555518201,12957.0
2002-10-08,2199.249963706,2199.249963706,2199.249963706,2199.249963706,16944.0
2002-10-09,2147.805520111,2147.805520111,2147.805520111,2147.805520111,34554.0
2002-10-10,2173.527741909,2173.527741909,2173.527741909,2173.527741909,4319.0
2002-10-11,2212.111074605,2212.111074605,2212.111074605,2212.111074605,15615.0
2002-10-14,2224.972185504,2224.972185504,2224.972185504,2224.972185504,5648.0
2002-10-15,2263.555518201,2263.555518201,2263.555518201,2263.555518201,24918.0
2002-10-16,2250.694407302,2250.694407302,2250.694407302,2250.694407302,19602.0
2002-10-17,2212.111074605,2212.111074605,2212.111074605,2212.111074605,16612.0
2002-10-18,2212.111074605,2212.111074605,2212.111074605,2212.111074605,25251.0
2002-10-21,2212.111074605,2212.111074605,2212.111074605,2212.111074605,11961.0
2002-10-22,2250.694407302,2250.694407302,2250.694407302,2250.694407302,27244.0
2002-10-23,2224.972185504,2224.972185504,2224.972185504,2224.972185504,10632.0
2002-10-24,2186.388852808,2186.388852808,2186.388852808,2186.388852808,61466.0
2002-10-25,2199.249963706,2199.249963706,2199.249963706,2199.249963706,4651.0
2002-10-28,2199.249963706,2199.249963706,2199.249963706,2199.249963706,41531.0
2002-10-29,2173.527741909,2173.527741909,2173.527741909,2173.527741909,14951.0
2002-10-31,2160.66663101,2160.66663101,2160.66663101,2160.66663101,15615.0
2002-11-01,2173.527741909,2173.527741909,2173.527741909,2173.527741909,4651.0
2002-11-04,2147.805520111,2147.805520111,2147.805520111,2147.805520111,12293.0
2002-11-05,2160.66663101,2160.66663101,2160.66663101,2160.66663101,11628.0
2002-11-06,2160.66663101,2160.66663101,2160.66663101,2160.66663101,7309.0
2002-11-07,2147.805520111,2147.805520111,2147.805520111,2147.805520111,22925.0
2002-11-08,2147.805520111,2147.805520111,2147.805520111,2147.805520111,41199.0
2002-11-11,2147.805520111,2147.805520111,2147.805520111,2147.805520111,17277.0
2002-11-12,2122.083298313,2122.083298313,2122.083298313,2122.083298313,20599.0
2002-11-13,2109.222187414,2109.222187414,2109.222187414,2109.222187414,25251.0
2002-11-14,2096.361076516,2096.361076516,2096.361076516,2096.361076516,31896.0
2002-11-15,2096.361076516,2096.361076516,2096.361076516,2096.361076516,39870.0
2002-11-18,2109.222187414,2109.222187414,2109.222187414,2109.222187414,34554.0
2002-11-19,2109.222187414,2109.222187414,2109.222187414,2109.222187414,45850.0
2002-11-20,2109.222187414,2109.222187414,2109.222187414,2109.222187414,28241.0
2002-11-21,2109.222187414,2109.222187414,2109.222187414,2109.222187414,7641.0
2002-11-22,2109.222187414,2109.222187414,2109.222187414,2109.222187414,18273.0
2002-11-25,2134.944409212,2134.944409212,2134.944409212,2134.944409212,5980.0
2002-11-26,2147.805520111,2147.805520111,2147.805520111,2147.805520111,21596.0
2002-11-27,2160.66663101,2160.66663101,2160.66663101,2160.66663101,21264.0
2002-11-28,2160.66663101,2160.66663101,2160.66663101,2160.66663101,36880.0
2002-11-29,2186.388852808,2186.388852808,2186.388852808,2186.388852808,51499.0
2002-12-02,2224.972185504,2224.972185504,2224.972185504,2224.972185504,19270.0
2002-12-03,2289.277739999,2289.277739999,2289.277739999,2289.277739999,8970.0
2002-12-04,2353.583294493,2353.583294493,2353.583294493,2353.583294493,75421.0
2002-12-05,2353.583294493,2353.583294493,2353.583294493,2353.583294493,81734.0
2002-12-06,2302.138850897,2302.138850897,2302.138850897,2302.138850897,53160.0
2002-12-09,2314.999961796,2314.999961796,2314.999961796,2314.999961796,107649.0
2002-12-10,2353.583294493,2353.583294493,2353.583294493,2353.583294493,26247.0
2002-12-11,2327.861072695,2327.861072695,2327.861072695,2327.861072695,28906.0
2002-12-12,2353.583294493,2353.583294493,2353.583294493,2353.583294493,40534.0
2002-12-13,2353.583294493,2353.583294493,2353.583294493,2353.583294493,29902.0
2002-12-16,2392.166627189,2392.166627189,2392.166627189,2392.166627189,35883.0
2002-12-17,2443.611070785,2443.611070785,2443.611070785,2443.611070785,171442.0
2002-12-18,2430.749959886,2430.749959886,2430.749959886,2430.749959886,98679.0
2002-12-19,2417.888848987,2417.888848987,2417.888848987,2417.888848987,71434.0
2002-12-20,2379.305516291,2379.305516291,2379.305516291,2379.305516291,89376.0
2002-12-23,2392.166627189,2392.166627189,2392.166627189,2392.166627189,13954.0
2002-12-24,2405.027738088,2405.027738088,2405.027738088,2405.027738088,16944.0
2002-12-25,2417.888848987,2417.888848987,2417.888848987,2417.888848987,47512.0
2002-12-26,2389.772862001,2389.772862001,2389.772862001,2389.772862001,58476.0
2002-12-27,2361.657887154,2361.657887154,2361.657887154,2361.657887154,23589.0
2002-12-30,2319.485424883,2319.485424883,2319.485424883,2319.485424883,43525.0
2002-12-31,2319.485424883,2319.485424883,2319.485424883,2319.485424883,39538.0
2003-01-02,2333.542912307,2333.542912307,2333.542912307,2333.542912307,4983.0
2003-01-03,2319.485424883,2319.485424883,2319.485424883,2319.485424883,13954.0
2003-01-06,2319.485424883,2319.485424883,2319.485424883,2319.485424883,5980.0
2003-01-07,2319.485424883,2319.485424883,2319.485424883,2319.485424883,30235.0
2003-01-08,2319.485424883,2319.485424883,2319.485424883,2319.485424883,8306.0
2003-01-09,2305.42793746,2305.42793746,2305.42793746,2305.42793746,13622.0
2003-01-10,2305.42793746,2305.42793746,2305.42793746,2305.42793746,1661.0
2003-01-13,2291.370450036,2291.370450036,2291.370450036,2291.370450036,14286.0
2003-01-14,2291.370450036,2291.370450036,2291.370450036,2291.370450036,6312.0
2003-01-15,2291.370450036,2291.370450036,2291.370450036,2291.370450036,10964.0
2003-01-16,2291.370450036,2291.370450036,2291.370450036,2291.370450036,30567.0
2003-01-17,2291.370450036,2291.370450036,2291.370450036,2291.370450036,35883.0
2003-01-20,2291.370450036,2291.370450036,2291.370450036,2291.370450036,19602.0
2003-01-21,2263.255475189,2263.255475189,2263.255475189,2263.255475189,51166.0
2003-01-22,2263.255475189,2263.255475189,2263.255475189,2263.255475189,20931.0
2003-01-23,2291.370450036,2291.370450036,2291.370450036,2291.370450036,21928.0
2003-01-24,2319.485424883,2319.485424883,2319.485424883,2319.485424883,36547.0
2003-01-27,2347.60039973,2347.60039973,2347.60039973,2347.60039973,62131.0
2003-01-28,2347.60039973,2347.60039973,2347.60039973,2347.60039973,74092.0
2003-01-29,2347.60039973,2347.60039973,2347.60039973,2347.60039973,74092.0
2003-01-30,2347.60039973,2347.60039973,2347.60039973,2347.60039973,74092.0
2003-02-06,2347.60039973,2347.60039973,2347.60039973,2347.60039973,74092.0
2003-02-07,2347.60039973,2347.60039973,2347.60039973,2347.60039973,74092.0
2003-02-10,2389.772862001,2389.772862001,2389.772862001,2389.772862001,11961.0
2003-02-11,2319.485424883,2319.485424883,2319.485424883,2319.485424883,8306.0
2003-02-12,2263.255475189,2263.255475189,2263.255475189,2263.255475189,40202.0
2003-02-13,2319.485424883,2319.485424883,2319.485424883,2319.485424883,23922.0
2003-02-14,2319.485424883,2319.485424883,2319.485424883,2319.485424883,20931.0
2003-02-17,2347.60039973,2347.60039973,2347.60039973,2347.60039973,34554.0
2003-02-18,2333.542912307,2333.542912307,2333.542912307,2333.542912307,1661.0
2003-02-19,2319.485424883,2319.485424883,2319.485424883,2319.485424883,6977.0
2003-02-20,2319.485424883,2319.485424883,2319.485424883,2319.485424883,22925.0
2003-02-21,2305.42793746,2305.42793746,2305.42793746,2305.42793746,30235.0
2003-02-24,2319.485424883,2319.485424883,2319.485424883,2319.485424883,9967.0
2003-02-25,2319.485424883,2319.485424883,2319.485424883,2319.485424883,17609.0
2003-02-26,2305.42793746,2305.42793746,2305.42793746,2305.42793746,12957.0
2003-02-27,2305.42793746,2305.42793746,2305.42793746,2305.42793746,6645.0
2003-02-28,2305.42793746,2305.42793746,2305.42793746,2305.42793746,15615.0
2003-03-03,2305.42793746,2305.42793746,2305.42793746,2305.42793746,60137.0
2003-03-04,2305.42793746,2305.42793746,2305.42793746,2305.42793746,51166.0
2003-03-05,2305.42793746,2305.42793746,2305.42793746,2305.42793746,65786.0
2003-03-06,2305.42793746,2305.42793746,2305.42793746,2305.42793746,10632.0
2003-03-07,2305.42793746,2305.42793746,2305.42793746,2305.42793746,25915.0
2003-03-10,2291.370450036,2291.370450036,2291.370450036,2291.370450036,30567.0
2003-03-11,2291.370450036,2291.370450036,2291.370450036,2291.370450036,15283.0
2003-03-12,2291.370450036,2291.370450036,2291.370450036,2291.370450036,27244.0
2003-03-13,2291.370450036,2291.370450036,2291.370450036,2291.370450036,7641.0
2003-03-14,2305.42793746,2305.42793746,2305.42793746,2305.42793746,11296.0
2003-03-17,2305.42793746,2305.42793746,2305.42793746,2305.42793746,8970.0
2003-03-18,2291.370450036,2291.370450036,2291.370450036,2291.370450036,13622.0
2003-03-19,2291.370450036,2291.370450036,2291.370450036,2291.370450036,34554.0
2003-03-20,2291.370450036,2291.370450036,2291.370450036,2291.370450036,35883.0
2003-03-21,2305.42793746,2305.42793746,2305.42793746,2305.42793746,15615.0
2003-03-24,2291.370450036,2291.370450036,2291.370450036,2291.370450036,11628.0
2003-03-25,2291.370450036,2291.370450036,2291.370450036,2291.370450036,13954.0
2003-03-26,2263.255475189,2263.255475189,2263.255475189,2263.255475189,44854.0
2003-03-27,2249.197987766,2249.197987766,2249.197987766,2249.197987766,26247.0
2003-03-28,2249.197987766,2249.197987766,2249.197987766,2249.197987766,43192.0
2003-03-31,2150.795575801,2150.795575801,2150.795575801,2150.795575801,27577.0
2003-04-01,2094.565626107,2094.565626107,2094.565626107,2094.565626107,61799.0
2003-04-02,2192.968038072,2192.968038072,2192.968038072,2192.968038072,20599.0
2003-04-03,2249.197987766,2249.197987766,2249.197987766,2249.197987766,74092.0
2003-04-04,2263.255475189,2263.255475189,2263.255475189,2263.255475189,43525.0
2003-04-07,2263.255475189,2263.255475189,2263.255475189,2263.255475189,19935.0
2003-04-08,2221.083012919,2221.083012919,2221.083012919,2221.083012919,12293.0
2003-04-09,2235.140500342,2235.140500342,2235.140500342,2235.140500342,6977.0
2003-04-10,2249.197987766,2249.197987766,2249.197987766,2249.197987766,21928.0
2003-04-11,2263.255475189,2263.255475189,2263.255475189,2263.255475189,28241.0
2003-04-14,2249.197987766,2249.197987766,2249.197987766,2249.197987766,7974.0
2003-04-15,2249.197987766,2249.197987766,2249.197987766,2249.197987766,46183.0
2003-04-16,2249.197987766,2249.197987766,2249.197987766,2249.197987766,32893.0
2003-04-17,2291.370450036,2291.370450036,2291.370450036,2291.370450036,91037.0
2003-04-18,2291.370450036,2291.370450036,2291.370450036,2291.370450036,70105.0
2003-04-21,2291.370450036,2291.370450036,2291.370450036,2291.370450036,17277.0
2003-04-22,2277.312962613,2277.312962613,2277.312962613,2277.312962613,114959.0
2003-04-23,2277.312962613,2277.312962613,2277.312962613,2277.312962613,120940.0
2003-04-24,2277.312962613,2277.312962613,2277.312962613,2277.312962613,87382.0
2003-04-25,2249.197987766,2249.197987766,2249.197987766,2249.197987766,139214.0
2003-04-28,2249.197987766,2249.197987766,2249.197987766,2249.197987766,142204.0
2003-04-29,2235.140500342,2235.140500342,2235.140500342,2235.140500342,78079.0
2003-05-02,2235.140500342,2235.140500342,2235.140500342,2235.140500342,78079.0
2003-05-05,2235.140500342,2235.140500342,2235.140500342,2235.140500342,46515.0
2003-05-06,2249.197987766,2249.197987766,2249.197987766,2249.197987766,22260.0
2003-05-07,2277.312962613,2277.312962613,2277.312962613,2277.312962613,93363.0
2003-05-08,2277.312962613,2277.312962613,2277.312962613,2277.312962613,73095.0
2003-05-09,2305.42793746,2305.42793746,2305.42793746,2305.42793746,40202.0
2003-05-12,2305.42793746,2305.42793746,2305.42793746,2305.42793746,37544.0
2003-05-13,2305.42793746,2305.42793746,2305.42793746,2305.42793746,6312.0
2003-05-14,2263.255475189,2263.255475189,2263.255475189,2263.255475189,29570.0
2003-05-15,2249.197987766,2249.197987766,2249.197987766,2249.197987766,34222.0
2003-05-16,2249.197987766,2249.197987766,2249.197987766,2249.197987766,34554.0
2003-05-19,2249.197987766,2249.197987766,2249.197987766,2249.197987766,3322.0
2003-05-20,2249.197987766,2249.197987766,2249.197987766,2249.197987766,4286.0
2003-05-21,2270.284218901,2263.255475189,2277.312962613,2277.312962613,996.0
2003-05-22,2249.197987766,2249.197987766,2249.197987766,2249.197987766,45950.0
2003-05-23,2249.197987766,2235.140500342,2249.197987766,2249.197987766,54190.0
2003-05-26,2249.197987766,2249.197987766,2249.197987766,2249.197987766,17277.0
2003-05-27,2249.197987766,2249.197987766,2263.255475189,2263.255475189,19769.0
2003-05-28,2263.255475189,2263.255475189,2263.255475189,2263.255475189,17310.0
2003-05-29,2263.255475189,2263.255475189,2277.312962613,2277.312962613,7342.0
2003-05-30,2277.312962613,2263.255475189,2291.370450036,2263.255475189,11794.0
2003-06-02,2263.255475189,2263.255475189,2263.255475189,2263.255475189,5415.0
2003-06-03,2263.255475189,2249.197987766,2263.255475189,2249.197987766,48675.0
2003-06-04,2249.197987766,2249.197987766,2249.197987766,2249.197987766,33.0
2003-06-05,2249.197987766,2249.197987766,2249.197987766,2249.197987766,33324.0
2003-06-06,2249.197987766,2249.197987766,2249.197987766,2249.197987766,31098.0
2003-06-09,2270.284218901,2263.255475189,2277.312962613,2263.255475189,3355.0
2003-06-10,2263.255475189,2263.255475189,2263.255475189,2263.255475189,37179.0
2003-06-11,2263.255475189,2263.255475189,2277.312962613,2277.312962613,73660.0
2003-06-12,2277.312962613,2277.312962613,2291.370450036,2291.370450036,75122.0
2003-06-13,2291.370450036,2291.370450036,2291.370450036,2291.370450036,78112.0
2003-06-16,2305.42793746,2305.42793746,2305.42793746,2305.42793746,101901.0
2003-06-17,2305.42793746,2291.370450036,2305.42793746,2305.42793746,70437.0
2003-06-18,2305.42793746,2291.370450036,2305.42793746,2305.42793746,87714.0
2003-06-19,2305.42793746,2263.255475189,2319.485424883,2263.255475189,32926.0
2003-06-20,2312.4566811715003,2305.42793746,2319.485424883,2305.42793746,72896.0
2003-06-23,2291.370450036,2291.370450036,2291.370450036,2291.370450036,10200.0
2003-06-24,2291.370450036,2291.370450036,2291.370450036,2291.370450036,9635.0
2003-06-25,2291.370450036,2291.370450036,2291.370450036,2291.370450036,14785.0
2003-06-26,2305.42793746,2305.42793746,2305.42793746,2305.42793746,30833.0
2003-06-27,2305.42793746,2305.42793746,2305.42793746,2305.42793746,4053.0
2003-06-30,2305.42793746,2291.370450036,2305.42793746,2291.370450036,5316.0
2003-07-01,2291.370450036,2291.370450036,2305.42793746,2305.42793746,11462.0
2003-07-02,2305.42793746,2291.370450036,2305.42793746,2291.370450036,14286.0
2003-07-03,2291.370450036,2291.370450036,2291.370450036,2291.370450036,10632.0
2003-07-04,2291.370450036,2291.370450036,2305.42793746,2305.42793746,19935.0
2003-07-07,2326.514168595,2319.485424883,2333.542912307,2333.542912307,54489.0
2003-07-08,2333.542912307,2319.485424883,2333.542912307,2319.485424883,11828.0
2003-07-09,2319.485424883,2319.485424883,2361.657887154,2319.485424883,9103.0
2003-07-10,2319.485424883,2319.485424883,2319.485424883,2319.485424883,33.0
2003-07-11,2319.485424883,2305.42793746,2319.485424883,2305.42793746,20267.0
2003-07-14,2305.42793746,2305.42793746,2319.485424883,2319.485424883,33.0
2003-07-15,2298.399193748,2291.370450036,2305.42793746,2291.370450036,30932.0
2003-07-16,2291.370450036,2291.370450036,2291.370450036,2291.370450036,3422.0
2003-07-17,2291.370450036,2291.370450036,2291.370450036,2291.370450036,3322.0
2003-07-18,2291.370450036,2291.370450036,2305.42793746,2291.370450036,6246.0
2003-07-21,2291.370450036,2291.370450036,2291.370450036,2291.370450036,4983.0
2003-07-22,2291.370450036,2291.370450036,2291.370450036,2291.370450036,9635.0
2003-07-23,2277.312962613,2277.312962613,2277.312962613,2277.312962613,22925.0
2003-07-24,2277.312962613,2277.312962613,2291.370450036,2291.370450036,10067.0
2003-07-25,2291.370450036,2291.370450036,2291.370450036,2291.370450036,6977.0
2003-07-28,2291.370450036,2291.370450036,2291.370450036,2291.370450036,11728.0
2003-07-29,2335.155044971,2291.370887878,2378.939202064,2291.370887878,23457.0
2003-07-30,2291.370887878,2276.776168847,2291.370887878,2276.776168847,6213.0
2003-07-31,2276.776168847,2262.181449816,2276.776168847,2262.181449816,3455.0
2003-08-01,2247.586730785,2247.586730785,2247.586730785,2247.586730785,8638.0
2003-08-04,2247.586730785,2247.586730785,2247.586730785,2247.586730785,664.0
2003-08-05,2247.586730785,2232.992011754,2247.586730785,2232.992011754,14453.0
2003-08-06,2232.992011754,2232.992011754,2247.586730785,2247.586730785,9004.0
2003-08-07,2225.6946522385,2218.397292723,2232.992011754,2232.992011754,2325.0
2003-08-08,2232.992011754,2232.992011754,2232.992011754,2232.992011754,7841.0
2003-08-11,2218.397292723,2218.397292723,2218.397292723,2218.397292723,20267.0
2003-08-12,2218.397292723,2203.802573691,2218.397292723,2218.397292723,16180.0
2003-08-13,2218.397292723,2218.397292723,2232.992011754,2232.992011754,9967.0
2003-08-14,2232.992011754,2218.397292723,2232.992011754,2218.397292723,9834.0
2003-08-15,2218.397292723,2218.397292723,2218.397292723,2218.397292723,4651.0
2003-08-18,2218.397292723,2218.397292723,2218.397292723,2218.397292723,20765.0
2003-08-19,2232.992011754,2232.992011754,2232.992011754,2232.992011754,9236.0
2003-08-20,2232.992011754,2232.992011754,2232.992011754,2232.992011754,46515.0
2003-08-21,2232.992011754,2232.992011754,2247.586730785,2232.992011754,61167.0
2003-08-22,2232.992011754,2232.992011754,2232.992011754,2232.992011754,7309.0
2003-08-25,2232.992011754,2218.397292723,2232.992011754,2232.992011754,9004.0
2003-08-26,2218.397292723,2218.397292723,2218.397292723,2218.397292723,21596.0
2003-08-27,2232.992011754,2232.992011754,2232.992011754,2232.992011754,22925.0
2003-08-28,2232.992011754,2232.992011754,2232.992011754,2232.992011754,13290.0
2003-08-29,2232.992011754,2232.992011754,2232.992011754,2232.992011754,13954.0
2003-09-01,2232.992011754,2232.992011754,2232.992011754,2232.992011754,13954.0
2003-09-03,2232.992011754,2232.992011754,2232.992011754,2232.992011754,22427.0
2003-09-04,2232.992011754,2232.992011754,2232.992011754,2232.992011754,13622.0
2003-09-05,2232.992011754,2232.992011754,2232.992011754,2232.992011754,6645.0
2003-09-08,2232.992011754,2232.992011754,2232.992011754,2232.992011754,17542.0
2003-09-09,2232.992011754,2232.992011754,2232.992011754,2232.992011754,21596.0
2003-09-10,2232.992011754,2232.992011754,2232.992011754,2232.992011754,18606.0
2003-09-11,2232.992011754,2232.992011754,2232.992011754,2232.992011754,6645.0
2003-09-12,2232.992011754,2218.397292723,2232.992011754,2232.992011754,132.0
2003-09-15,2232.992011754,2218.397292723,2232.992011754,2232.992011754,398.0
2003-09-16,2218.397292723,2218.397292723,2218.397292723,2218.397292723,13090.0
2003-09-17,2218.397292723,2218.397292723,2218.397292723,2218.397292723,8306.0
2003-09-18,2218.397292723,2203.802573691,2218.397292723,2203.802573691,1262.0
2003-09-19,2203.802573691,2203.802573691,2203.802573691,2203.802573691,1661.0
2003-09-22,2203.802573691,2203.802573691,2203.802573691,2203.802573691,24121.0
2003-09-23,2203.802573691,2203.802573691,2232.992011754,2232.992011754,3987.0
